ДАННЫЕ С БИРЖИ MOEX
27.01892,USDTRY
3.575,TRYRUB
96.545,USDRUB_TOM

yapikredi https://www.yapikredi.com.tr/yatirimci-kosesi/doviz-bilgileri
Валюта,Покупка,Продажа,18.09.2023 21:53
USD,26.4932,27.9483,18.09.2023 21:53
EUR,28.2982,29.8483,18.09.2023 21:53
XAU,1.646.763,1.733.736,18.09.2023 21:53
GBP,32.8091,34.5919,18.09.2023 21:53
AUD,17.0344,17.9904,18.09.2023 21:53
DKK,3.7967,4.0037,18.09.2023 21:53
SEK,2.3697,2.5065,18.09.2023 21:53
CHF,29.5306,31.1013,18.09.2023 21:53
JPY,0.1789,0.1895,18.09.2023 21:53
CAD,19.6261,20.727,18.09.2023 21:53
KWD,85.7508,90.4394,18.09.2023 21:53
NOK,2.4452,2.5865,18.09.2023 21:53


https://www.denizbank.com/api/marketdata/exchanges
Валюта,Покупка,Продажа,18.09.2023 21:53
USD,26.5041,27.7042,18.09.2023 21:53
EUR,28.3044,29.5888,18.09.2023 21:53
GBP,32.8114,34.4485,18.09.2023 21:53
CHF,29.5157,30.9892,18.09.2023 21:53
NOK,2.4383,2.5703,18.09.2023 21:53
DKK,3.7819,3.9695,18.09.2023 21:53
SEK,2.3636,2.4815,18.09.2023 21:53
SAR,6.9261,7.3848,18.09.2023 21:53
AUD,17.0035,17.8805,18.09.2023 21:53
CAD,19.6452,20.5362,18.09.2023 21:53
KWD,85.7717,89.7104,18.09.2023 21:53
JPY,0.1785,0.18718,18.09.2023 21:53
XAU,1632.9239,1743.3492,18.09.2023 21:53
RUB,0.2619,0.2954,18.09.2023 21:53
ZAR,1.3941,1.4582,18.09.2023 21:53
XPD,1048.0784,1138.3193,18.09.2023 21:53
BHD,70.2928,73.4853,18.09.2023 21:53
IDR,0.0017236,0.0018028,18.09.2023 21:53
MXN,1.5472,1.6178,18.09.2023 21:53
KZT,0.05593,0.0586,18.09.2023 21:53
CNH,3.6340792,3.7989251,18.09.2023 21:53
QAR,7.2648744,7.5996252,18.09.2023 21:53
AED,7.2155,7.5427,18.09.2023 21:53
NPR,0.1988043,0.208353,18.09.2023 21:53
RON,5.6933,5.9594,18.09.2023 21:53
BRL,5.4652,5.7144,18.09.2023 21:53
CZK,1.1592237,1.2125563,18.09.2023 21:53
HUF,0.0737393,0.0771616,18.09.2023 21:53
NZD,15.6687643,16.4137004,18.09.2023 21:53
PLN,6.0969651,6.3765264,18.09.2023 21:53
THB,0.7423246,0.777298,18.09.2023 21:53
XAG,19.5242,21.1447,18.09.2023 21:53
INR,0.3182279,0.3326757,18.09.2023 21:53
XPT,792.8628,842.841,18.09.2023 21:53
CNY,3.612752,3.8221704,18.09.2023 21:53
HKD,3.38953,3.5432,18.09.2023 21:53
SGD,19.4327,20.3156,18.09.2023 21:53

https://www.isbank.com.tr/doviz-kurlari
Валюта,Покупка,Продажа,18.09.2023 21:53
USD,26.3636,28.1413,18.09.2023 21:53
EUR,28.1589,30.0577,18.09.2023 21:53
GBP,32.6355,34.8361,18.09.2023 21:53
AUD,16.965,18.1089,18.09.2023 21:53
DKK,3.7774,4.0321,18.09.2023 21:53
SEK,2.3613,2.5205,18.09.2023 21:53
CHF,29.3614,31.3412,18.09.2023 21:53
JPY,0.17845,0.19048,18.09.2023 21:53
CAD,19.5416,20.8593,18.09.2023 21:53
KWD,85.319,91.0721,18.09.2023 21:53
NOK,2.4358,2.6001,18.09.2023 21:53
SAR,7.029,7.5029,18.09.2023 21:53

https://www.haremaltin.com
Название,Покупка,Продажа,18.09.2023 21:53
HAS ALTINHAS ALTIN,1.707,38,1.715,42,18.09.2023 21:53
ONSONS,1.931,7,1.931,9,18.09.2023 21:53
USD/KGUSD/KG,62.980,63.100,18.09.2023 21:53
EUR/KGEUR/KG,58.930,59.120,18.09.2023 21:53
22 AYAR22 AYAR,1.551,72,1.644,65,18.09.2023 21:53
GRAM ALTINGRAM ALTIN,1.698,84,1.720,57,18.09.2023 21:53
ALTIN GÜMÜŞALTIN GÜMÜŞ,83,20,83,27,18.09.2023 21:53
YENİ ÇEYREKYENİ ÇEYREK,2.774,2.810,18.09.2023 21:53
